sno,sal,job,course,duration,institutes,eligibility
1,4 LPA,Investment Banker,MBA,2 years,Indian Institute of Management (IIM) Ahmedabad,1. Bachelor’s degree in any discipline from a recognized university.
,7.2 LPA,Project Planner,,,Indian Institute of Management (IIM) Bangalore,2. Minimum aggregate of 50% is required for general category candidates and 45% for other reserved categories.
,5.7 LPA,Business Development Manager,,,Indian Institute of Management (IIM) Calcutta,3. Graduation final year candidates are also eligible for an MBA.
,7 LPA,Marketing Manager,,,"Faculty of Management Studies (FMS), Delhi University, Delhi",4. Professional Degree holders such as CA/CS/CMA/ICWAI and others can also pursue an MBA. 
,22 LPA,Management Consultant,,,"Jamnalal Bajaj Institute of Management Studies (JBIMS), Mumbai",
2,6 LPA,Senior Engineer,Mtech,,Indian Institute of Technology (IIT) Bombay,1. BE/BTech degree from a recognized university.
,3.5 LPA,Research Analyst,,,Indian Institute of Technology (IIT) Roorkee,2. Master’s degree in applied science is also eligible for an MTech Programme.
,3 LPA,Mechanical Engineer,,,Indian Institute of Science (IISc) Bangalore,
,4.8 LPA,Software Developer,,,Birla Institute of Technology and Science (BITS) Pilani,
,4.2 LPA,Data Analyst,,,National Institute of Technology (NIT) Trichy,
3,8.5 LPA,Talent Manager,PGDM,,"Indian Institute of Management (IIM), Ahmedabad",1. Undergraduate course in any discipline from a recognized institution are eligible for PGDM.
,15 LPA,IT Project Manager,,,"Indian Institute of Management (IIM), Bangalore",2. Candidates must have secured a minimum aggregate of 50% in their bachelor’s degree.
,17.7 LPA,Information Systems Manager,,,"Institute of Management Technology (IMT), Ghaziabad","3. Considerable knowledge of mathematics, English, and logical capability for entrance exam."
,2.8 LPA,Marketing Executive,,,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",
,3.2 LPA,Finance Executive,,,"T. A. Pai Management Institute (TAPMI), Manipal",
4,12.5 LPA,Finance Manager,MA / MSc Economics,2 years,"Delhi School of Economics, University of Delhi",1. Candidates with an undergraduate course in any discipline from any recognized university.
,5 LPA,Credit Analyst,,,"Jawaharlal Nehru University, New Delhi", 2. Candidates with a minimum aggregate of 50% in their bachelor’s degree.
,4 LPA,Statistician,,,"Madras School of Economics, Chennai",
,4.6 LPA,Financial Analyst,,,"Gokhale Institute of Politics and Economics, Pune",
,3.3 LPA,Market Research Analyst,,,"Centre for Economic Studies and Planning, Jawaharlal Nehru University, New Delhi",
5,3.5 LPA,Content Analyst,MA / MSc Statistics / Mathematics,2 years (can vary with institutes),"Indian Statistical Institute (ISI), Kolkata","1. Candidates with graduation in Statistics, Mathematics, or equivalent discipline from a recognized university."
,5 LPA,Statistical Analyst,,,"Banaras Hindu University (BHU), Varanasi",2. A minimum aggregate of 50% for the general category and 45% for the reserved category is required.
,14 LPA,Economist,,,"Chennai Mathematical Institute (CMI), Chennai",3. Final year students
